Freq.	V(out)
6.60693448007594e+000	5.30230732911938e+001,-3.34945115835926e+001
6.76082975391980e+000	5.23058180628375e+001,-3.37872844526998e+001
6.91830970918935e+000	5.15762997440931e+001,-3.40669960063279e+001
7.07945784384136e+000	5.08349941068820e+001,-3.43330188441475e+001
7.24435960074988e+000	5.00824177970975e+001,-3.45847443322935e+001
7.41310241300916e+000	4.93191275291078e+001,-3.48215857409251e+001
7.58577575029182e+000	4.85457190002222e+001,-3.50429813598184e+001
7.76247116628690e+000	4.77628255229120e+001,-3.52483975636219e+001
7.94328234724279e+000	4.69711163758058e+001,-3.54373317976971e+001
8.12830516164097e+000	4.61712948778258e+001,-3.56093154550975e+001
8.31763771102669e+000	4.53640961933261e+001,-3.57639166154147e+001
8.51138038202374e+000	4.45502848795702e+001,-3.59007426167805e+001
8.70963589956078e+000	4.37306521913341e+001,-3.60194424333053e+001
8.91250938133743e+000	4.29060131607973e+001,-3.61197088318040e+001
9.12010839355907e+000	4.20772034740351e+001,-3.62012802835607e+001
9.33254300796988e+000	4.12450761683828e+001,-3.62639426092591e+001
9.54992586021433e+000	4.04104981775764e+001,-3.63075303380460e+001
9.77237220955808e+000	3.95743467538376e+001,-3.63319277647435e+001
9.99999999999997e+000	3.87375057979363e+001,-3.63370696926893e+001
1.02329299228075e+001	3.79008621296744e+001,-3.63229418533624e+001
1.04712854805090e+001	3.70653017321305e+001,-3.62895809977671e+001
1.07151930523760e+001	3.62317060034273e+001,-3.62370746584474e+001
1.09647819614318e+001	3.54009480496562e+001,-3.61655605850363e+001
1.12201845430196e+001	3.45738890519653e+001,-3.60752258600419e+001
1.14815362149688e+001	3.37513747396820e+001,-3.59663057053983e+001
1.17489755493953e+001	3.29342319997273e+001,-3.58390819938917e+001
1.20226443461741e+001	3.21232656505333e+001,-3.56938814828067e+001
1.23026877081238e+001	3.13192554062375e+001,-3.55310737901429e+001
1.25892541179416e+001	3.05229530541344e+001,-3.53510691364319e+001
1.28824955169313e+001	2.97350798653322e+001,-3.51543158772259e+001
1.31825673855640e+001	2.89563242552837e+001,-3.49412978532312e+001
1.34896288259165e+001	2.81873397074533e+001,-3.47125315862633e+001
1.38038426460288e+001	2.74287429699128e+001,-3.44685633500474e+001
1.41253754462275e+001	2.66811125311559e+001,-3.42099661453054e+001
1.44543977074592e+001	2.59449873780098e+001,-3.39373366083901e+001
1.47910838816820e+001	2.52208660351848e+001,-3.36512918823648e+001
1.51356124843620e+001	2.45092058828925e+001,-3.33524664783793e+001
1.54881661891248e+001	2.38104227460042e+001,-3.30415091541088e+001
1.58489319246111e+001	2.31248907455797e+001,-3.27190798343140e+001
1.62181009735892e+001	2.24529424012006e+001,-3.23858465968831e+001
1.65958690743755e+001	2.17948689704707e+001,-3.20424827456088e+001
1.69824365246174e+001	2.11509210103050e+001,-3.16896639888019e+001
1.73780082874937e+001	2.05213091431950e+001,-3.13280657405066e+001
1.77827941003892e+001	1.99062050105684e+001,-3.09583605587322e+001
1.81970085860998e+001	1.93057423945708e+001,-3.05812157326918e+001
1.86208713666286e+001	1.87200184891501e+001,-3.01972910287052e+001
1.90546071796324e+001	1.81490953011434e+001,-2.98072366020694e+001
1.94984459975804e+001	1.75930011621665e+001,-2.94116910800002e+001
1.99526231496887e+001	1.70517323324284e+001,-2.90112798186368e+001
2.04173794466952e+001	1.65252546781536e+001,-2.86066133351434e+001
2.08929613085403e+001	1.60135054050197e+001,-2.81982859141191e+001
2.13796208950222e+001	1.55163948308938e+001,-2.77868743859339e+001
2.18776162394954e+001	1.50338081821827e+001,-2.73729370731031e+001
2.23872113856833e+001	1.45656073991941e+001,-2.69570128995953e+001
2.29086765276776e+001	1.41116329371057e+001,-2.65396206568474e+001
2.34422881531991e+001	1.36717055503462e+001,-2.61212584193629e+001
2.39883291901948e+001	1.32456280494415e+001,-2.57024031020552e+001
2.45470891568502e+001	1.28331870206293e+001,-2.52835101508998e+001
2.51188643150957e+001	1.24341544997750e+001,-2.48650133580691e+001
2.57039578276885e+001	1.20482895933031e+001,-2.44473247924569e+001
2.63026799189537e+001	1.16753400400441e+001,-2.40308348363348e+001
2.69153480392690e+001	1.13150437089610e+001,-2.36159123188882e+001
2.75422870333815e+001	1.09671300287694e+001,-2.32029047374499e+001
2.81838293126444e+001	1.06313213464288e+001,-2.27921385574133e+001
2.88403150312659e+001	1.03073342123645e+001,-2.23839195820672e+001
2.95120922666637e+001	9.99488059109287e+000,-2.19785333838930e+001
3.01995172040200e+001	9.69366899666445e+000,-2.15762457892420e+001
3.09029543251358e+001	9.40340555297696e+000,-2.11773034087042e+001
3.16227766016837e+001	9.12379497961902e+000,-2.07819342059117e+001
3.23593656929627e+001	8.85454150437955e+000,-2.03903480979986e+001
3.31131121482590e+001	8.59534970402370e+000,-2.00027375813765e+001
3.38844156139201e+001	8.34592527528279e+000,-1.96192783769924e+001
3.46736850452530e+001	8.10597573833483e+000,-1.92401300896807e+001
3.54813389233574e+001	7.87521107528286e+000,-1.88654368767153e+001
3.63078054770100e+001	7.65334430634990e+000,-1.84953281211110e+001
3.71535229097171e+001	7.44009200665194e+000,-1.81299191056659e+001
3.80189396320559e+001	7.23517476651570e+000,-1.77693116841790e+001
3.89045144994279e+001	7.03831759837591e+000,-1.74135949466569e+001
3.98107170553495e+001	6.84925029332020e+000,-1.70628458757369e+001
4.07380277804111e+001	6.66770773034599e+000,-1.67171299918935e+001
4.16869383470333e+001	6.49343014137842e+000,-1.63765019853403e+001
4.26579518801591e+001	6.32616333503878e+000,-1.60410063328635e+001
4.36515832240164e+001	6.16565888210387e+000,-1.57106778980933e+001
4.46683592150961e+001	6.01167426549751e+000,-1.53855425140065e+001
4.57088189614873e+001	5.86397299757678e+000,-1.50656175466809e+001
4.67735141287196e+001	5.72232470736089e+000,-1.47509124395553e+001
4.78630092322636e+001	5.58650520024462e+000,-1.44414292376400e+001
4.89778819368444e+001	5.45629649261766e+000,-1.41371630913070e+001
5.01187233627270e+001	5.33148682369153e+000,-1.38381027394481e+001
5.12861383991362e+001	5.21187064671344e+000,-1.35442309719274e+001
5.24807460249770e+001	5.09724860161879e+000,-1.32555250713857e+001
5.37031796370250e+001	4.98742747105410e+000,-1.29719572345576e+001
5.49540873857622e+001	4.88222012158101e+000,-1.26934949733592e+001
5.62341325190346e+001	4.78144543174601e+000,-1.24201014960848e+001
